gen,evals,gpu_ok,rejected,best_score,median_score,best_eval,best_f_geo_evolving,median_f_geo_evolving
1,16,12,4,3261.1970,3065.3607,12,0.319700,0.300373
2,16,16,0,3304.0473,3139.8605,17,0.324016,0.307746
3,16,14,2,3412.0179,3264.6120,33,0.334667,0.320038
4,16,15,1,3444.9422,3353.0390,56,0.337834,0.328792
5,16,15,1,3508.9946,3428.3032,74,0.344074,0.336171
6,16,14,2,3549.6294,3419.3361,84,0.348116,0.335300
7,16,12,4,3558.9966,3492.6757,108,0.349065,0.342554
8,16,11,5,3616.6617,3538.1865,120,0.354743,0.346941
9,16,13,3,3606.0697,3558.6619,139,0.353523,0.348917
10,16,14,2,3636.1457,3568.5224,154,0.356454,0.349830
11,16,11,5,3656.5518,3605.9128,162,0.358519,0.353499
12,16,9,7,3636.2346,3612.4941,179,0.356480,0.354124
13,8,7,1,3665.7738,3627.6611,193,0.359393,0.355552
